Pattern,Value,KICH-Support,KIRC-Support,KIRP-Support
frozenset({'ODAM.54959=EH'}),1.0,0.0,1.0,1.0
"frozenset({'C8orf71.26138=EH', 'ODAM.54959=EH'})",1.0,0.0,1.0,1.0
"frozenset({'SLC39A5.283375=EL', 'REG3G.130120=L', 'BAIAP2L2.80115=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9930555555555556,1.0,0.020754716981132074,0.006944444444444444
"frozenset({'NGEF.25791=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'FAM58A.92002=EH'})",0.9930555555555556,1.0,0.013207547169811321,0.006944444444444444
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'PLEKHJ1.55111=EH', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9930555555555556,1.0,0.01509433962264151,0.006944444444444444
"frozenset({'NGEF.25791=EL', 'SLC39A5.283375=EL', 'REG3G.130120=L', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9930555555555556,1.0,0.018867924528301886,0.006944444444444444
"frozenset({'SLC39A5.283375=EL', 'REG3G.130120=L', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'ENKUR.219670=EL'})",0.9930555555555556,1.0,0.018867924528301886,0.006944444444444444
"frozenset({'CLPB.81570=EH', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'ENKUR.219670=EL'})",0.9930555555555556,1.0,0.016981132075471698,0.006944444444444444
"frozenset({'CLPB.81570=EH', 'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9930555555555556,1.0,0.01509433962264151,0.006944444444444444
"frozenset({'CLPB.81570=EH', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'GALNT14.79623=EL', 'LOC100129034.100129034=EL'})",0.9930555555555556,1.0,0.016981132075471698,0.006944444444444444
"frozenset({'SLC39A5.283375=EL', 'REG3G.130120=L', 'EVI5L.115704=EH', 'GALNT14.79623=EL', 'LOC100129034.100129034=EL'})",0.9930555555555556,1.0,0.018867924528301886,0.006944444444444444
"frozenset({'SLC39A5.283375=EL', 'REG3G.130120=L', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'CYP2J2.1573=EL'})",0.9930555555555556,1.0,0.020754716981132074,0.006944444444444444
"frozenset({'CLPB.81570=EH', 'SLC39A5.283375=EL', 'BAIAP2L2.80115=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9930555555555556,1.0,0.018867924528301886,0.006944444444444444
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'REG3G.130120=L', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9930555555555556,1.0,0.016981132075471698,0.006944444444444444
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'FAM58A.92002=EH'})",0.9930555555555556,1.0,0.011320754716981131,0.006944444444444444
"frozenset({'CLPB.81570=EH', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'CYP2J2.1573=EL'})",0.9930555555555556,1.0,0.018867924528301886,0.006944444444444444
"frozenset({'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'GLB1L.79411=EL', 'LOC100129034.100129034=EL', 'FAM58A.92002=EH'})",0.9930555555555556,1.0,0.01509433962264151,0.006944444444444444
