PYCR1,SFXN1,ALDH18A1,TUBB3,PAICS,FAM83A,GPT2,ETV4,GOLM1,C9orf140,TOP2A,SRPK1,RCC1,UBE2T,FERMT1,KIF4A,CENPF,CCNB1,ERCC6L,ANLN,CDC6,C16orf59,HMGB3,DLGAP5,OCIAD2,LGR4,ASPM,KIF14,PSAT1,IQGAP3,PLEKHN1,PHKA1,EXO1,KIF26B,PPAT,UHRF1,MDK,TPX2,KIF11,PPP1R14B,BUB1B,E2F8,SPAG5,MEX3A,PDIA4,KIF20A,RECQL4,GPRIN1,DEPDC1,DEPDC1B,KANK3,LIMS2,RAMP2,SPOCK2,RTKN2,PECAM1,GRK5,EMP2,STX11,C13orf15,WWC2,OTUD1,PTPN21,FHL1,JAM2,EPAS1,ADRB2,SH2D3C,EDNRB,DENND3,CAV1,NECAB1,TEK,PRX,RAMP3,SGCG,TAL1,HSPA12B,ACVRL1,FABP4,CLEC3B,ARHGEF15,ANGPT4,USHBP1,GYPE,LDB2,JPH4,FMO2,SGEF,CALCRL,FAM189A2,S1PR1,SEMA3G,PALM2-AKAP2,GPR146,C20orf160,AGER,CLIC5,ARHGAP6,WNT3A,AURKA,CKAP5,Class
M,M,H,L,M,M,M,M,M,M,M,M,M,M,M,M,M,M,L,M,M,M,M,M,M,M,M,M,L,M,L,H,M,M,H,M,H,M,M,M,M,M,M,H,M,M,M,L,L,M,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,M,H,N
L,M,M,M,M,L,M,L,L,M,M,L,M,M,M,M,M,H,M,M,H,M,L,H,L,L,M,M,M,M,M,EL,M,L,M,H,M,H,H,M,H,H,H,L,M,H,M,M,M,H,H,H,H,EH,H,H,H,M,M,H,H,H,M,H,H,H,H,H,H,H,M,H,H,H,EH,H,M,H,H,H,H,H,H,H,H,H,EH,H,H,H,H,H,H,M,H,EH,H,M,M,EH,H,M,N
M,M,M,M,L,L,M,M,L,M,M,M,M,M,M,M,M,M,M,M,M,L,L,M,L,M,M,L,L,M,L,L,L,H,L,M,M,M,M,M,M,L,M,M,M,M,M,M,L,M,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,H,EH,EH,EH,H,H,EH,H,EH,EH,M,EH,H,EH,H,H,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,H,H,EH,H,EH,EH,EH,EH,EH,M,M,N
M,L,L,L,L,EL,L,M,L,M,L,L,L,L,L,L,EL,L,EL,EL,L,M,EL,EL,EL,L,EL,L,L,L,M,L,EL,L,EL,L,M,L,EL,M,L,EL,EL,L,M,L,L,L,EL,EL,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,L,M,N
M,M,H,M,M,L,M,M,M,M,M,M,M,L,L,M,L,L,M,M,M,M,M,M,M,L,L,M,L,M,M,M,M,H,M,M,H,M,M,M,L,L,L,M,H,M,M,M,L,M,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,H,H,H,H,EH,H,EH,EH,H,EH,EH,EH,H,EH,EH,H,EH,H,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,M,H,N
M,H,M,M,M,L,L,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EL,M,M,M,M,M,M,M,M,M,H,L,M,M,M,M,M,M,L,M,M,M,M,M,M,H,H,H,H,M,EH,H,EH,EH,EH,H,H,H,H,H,H,EH,H,M,EH,H,H,H,EH,H,H,H,H,EH,EH,H,M,EH,M,M,H,EH,M,M,H,H,EH,H,EH,M,H,M,H,EH,H,M,H,N
M,M,M,M,M,L,M,L,M,M,M,H,M,L,M,M,M,M,M,M,M,L,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,H,M,M,M,M,M,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,M,EH,N
L,EL,L,L,M,M,EL,L,L,M,M,L,L,L,L,M,M,M,M,M,M,L,EL,M,M,L,M,M,L,L,EL,L,M,EL,M,M,L,M,L,L,L,L,L,L,EL,L,L,L,M,L,EH,H,EH,H,H,EH,H,H,H,EH,H,H,H,EH,EH,H,H,H,EH,L,EH,EH,EH,M,EH,EH,H,H,H,EH,EH,H,EH,H,H,EH,H,EH,M,EH,M,EH,M,H,EH,H,EH,H,H,H,L,EL,N
L,EL,L,M,L,M,EL,M,L,M,L,L,M,L,M,L,EL,L,L,L,EL,EL,L,L,M,L,L,L,M,EL,L,EL,M,EL,L,EL,L,L,L,M,L,EL,EL,M,L,L,EL,EL,M,L,M,M,EH,M,H,H,M,M,H,M,M,H,M,H,M,M,M,L,H,L,EH,EH,M,M,H,H,M,M,M,EH,EH,M,M,M,H,M,H,H,M,H,M,M,L,M,M,M,EH,H,M,M,EL,EL,N
M,L,L,L,M,M,M,EL,L,L,EL,M,M,M,M,EL,EL,M,EL,EL,EL,L,M,EL,M,M,EL,EL,M,EL,L,L,L,L,M,EL,L,EL,L,M,EL,L,L,L,M,EL,L,L,EL,L,EH,EH,EH,H,M,EH,EH,H,EH,EH,H,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,H,EH,H,EH,EH,EH,EH,EH,EH,H,EH,EH,M,M,N
