PYCR1,SFXN1,ALDH18A1,TUBB3,PAICS,FAM83A,GPT2,ETV4,GOLM1,C9orf140,TOP2A,SRPK1,RCC1,UBE2T,FERMT1,KIF4A,CENPF,CCNB1,ERCC6L,ANLN,CDC6,C16orf59,HMGB3,DLGAP5,OCIAD2,LGR4,ASPM,KIF14,PSAT1,IQGAP3,PLEKHN1,PHKA1,EXO1,KIF26B,PPAT,UHRF1,MDK,TPX2,KIF11,PPP1R14B,BUB1B,E2F8,SPAG5,MEX3A,PDIA4,KIF20A,RECQL4,GPRIN1,DEPDC1,DEPDC1B,KANK3,LIMS2,RAMP2,SPOCK2,RTKN2,PECAM1,GRK5,EMP2,STX11,C13orf15,WWC2,OTUD1,PTPN21,FHL1,JAM2,EPAS1,ADRB2,SH2D3C,EDNRB,DENND3,CAV1,NECAB1,TEK,PRX,RAMP3,SGCG,TAL1,HSPA12B,ACVRL1,FABP4,CLEC3B,ARHGEF15,ANGPT4,USHBP1,GYPE,LDB2,JPH4,FMO2,SGEF,CALCRL,FAM189A2,S1PR1,SEMA3G,PALM2-AKAP2,GPR146,C20orf160,AGER,CLIC5,ARHGAP6,WNT3A,AURKA,CKAP5,Class
EH,EH,EH,H,EH,EH,H,EH,EH,H,H,EH,EH,EH,EH,M,H,H,H,H,H,H,EH,H,EH,EH,M,H,EH,H,EH,EH,H,EH,EH,H,EH,H,H,EH,H,H,H,H,EH,H,H,H,H,H,M,M,H,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,H,M,M,M,M,M,M,M,L,M,M,H,M,M,L,M,M,M,M,L,M,M,M,M,M,M,H,H,T
H,H,M,H,H,M,H,H,M,H,H,M,H,H,M,H,M,H,H,H,H,H,H,H,M,H,H,M,H,M,H,M,H,M,H,M,H,H,H,M,H,H,M,M,H,H,H,H,H,H,M,L,L,L,EL,L,L,L,L,L,EL,L,EL,M,L,EL,M,M,L,L,L,L,L,L,M,L,L,EL,L,L,L,L,L,L,L,L,L,L,EL,L,L,L,EL,EL,L,L,L,M,L,M,H,L,T
H,H,M,M,H,H,M,EH,M,M,H,H,H,H,EH,M,M,H,M,M,M,M,M,H,EH,M,M,M,H,M,H,M,M,H,H,M,EH,M,H,H,H,H,M,H,H,H,M,M,H,H,L,L,L,L,L,M,L,L,M,M,L,L,L,L,L,EL,M,L,L,L,L,M,L,EL,M,L,M,EL,M,M,L,EL,M,L,M,L,M,M,L,L,L,L,EL,EL,L,L,M,M,L,L,H,L,T
H,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EL,EL,EL,EL,L,L,L,L,L,EL,M,EL,L,EL,L,L,L,EL,EL,H,L,L,EL,M,EL,M,EL,L,M,EL,EL,EL,EL,M,L,L,L,L,L,EL,L,L,M,M,M,EL,EL,EL,L,EL,EH,EH,T
EH,EH,EH,EH,EH,H,H,H,EH,H,H,EH,M,EH,H,H,H,H,H,H,H,H,H,H,EH,EH,H,H,H,H,EH,H,H,EH,H,H,EH,H,H,H,H,H,H,EH,EH,H,H,H,H,H,EL,M,L,L,EL,L,EL,L,EL,M,L,L,L,L,M,EL,L,EL,L,L,L,L,L,EL,EL,L,EL,M,L,EL,EL,L,L,L,L,M,EL,L,EL,EL,EL,L,L,L,EL,L,EL,EL,L,L,M,M,T
EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,L,M,L,L,L,M,M,M,M,L,M,M,M,L,L,M,L,L,L,H,M,L,L,L,L,EL,M,M,M,EL,L,L,L,L,EL,L,M,EL,L,M,L,M,L,H,L,L,EL,L,L,L,EH,EH,T
EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,M,M,M,M,M,H,M,M,M,M,M,M,L,L,M,M,M,M,M,H,L,L,M,L,M,EL,M,M,H,L,M,M,L,H,M,M,M,M,L,M,L,M,M,M,M,M,L,L,M,EL,EH,EH,T
H,M,M,H,M,M,M,H,H,H,M,L,EH,M,H,H,M,M,M,M,M,EH,M,M,H,M,M,M,H,M,EH,M,M,M,M,M,EH,M,M,EH,M,M,M,H,H,M,H,H,M,M,EL,L,L,EL,EL,EL,EL,L,EL,L,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,L,L,EL,L,EL,T
H,M,H,H,M,H,EH,EH,M,H,M,M,EH,M,L,H,H,H,H,H,M,H,H,M,H,H,M,M,H,H,EH,H,M,H,M,M,H,H,M,EH,M,M,H,H,L,H,H,H,M,H,L,L,L,EL,EL,L,EL,L,EL,EL,EL,EL,EL,EL,EL,EL,EL,L,EL,L,EL,EL,EL,EL,L,L,EL,L,EL,L,EL,EL,L,EL,L,EL,L,EL,L,EL,L,EL,EL,EL,EL,EL,EL,M,EL,L,H,M,T
EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,EH,EH,H,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,EH,M,L,L,L,L,L,M,L,M,L,L,L,L,H,L,M,L,L,L,M,M,L,L,EL,M,L,L,L,L,L,L,L,L,L,L,L,L,EL,EL,L,EL,L,EL,M,L,L,L,EL,L,L,EH,EH,T
