FOXC1,ROPN1,RGMA,CA6,TTYH1,SCRG1,SFRS13B,CSN3,RABEP1,TMCC2,C6orf97,ERBB2,CCNE1,SLC39A6,SOX8,RLBP1,RGR,LOC93432,OLAH,HORMAD1,CCKBR,FAM171A1,B3GNT5,MIA,NCAN,EPHB1,KDM4B,FZD9,FSIP1,HAO1,GRB7,ROPN1B,HAPLN3,HRCT1,NCRNA00092,PTCHD1,SMR3B,TLE3,APH1B,FSCN1,GPR77,STARD3,CHRDL2,CRYAB,C1orf94,NRTN,MATN4,SLC25A18,STC2,TBC1D9,C6orf211,CMTM5,CA12,CLCN4,ACBD4,CSN2,C11orf75,MAGEB4,C2orf88,XBP1,EVL,FAM19A3,MLPH,TTLL4,CARD18,C10orf90,CAMKV,PGR,FAM150A,PRSS33,FOXA1,GFRA3,CLDN6,ANKRA2,C9orf170,MID1,PAPL,FAM150B,LEMD1,UCN3,YBX1,PSAPL1,SPHKAP,LOXL4,MOG,IL34,ATP6V1C2,WWP1,CTXN3,KCNK5,GPM6B,KRT20,PARD6B,TTC8,DLX6,TPRG1,CELSR1,IFRD1,NAT1,KIAA1370
M,H,EH,H,EH,M,EH,H,L,EH,EL,EL,EH,L,EH,EH,EH,EH,H,H,EH,EH,H,H,EH,EH,L,H,L,H,H,H,H,M,EH,EH,H,M,L,EH,EL,L,H,L,EH,EH,EH,H,M,EL,L,H,EL,EH,L,EH,H,H,M,EL,L,EH,EL,EH,EH,H,EH,EL,EH,EH,L,EH,EH,L,EH,EH,EH,EH,EH,EH,EH,EH,EH,M,H,EL,EH,L,H,H,EH,EH,M,EL,EH,EL,L,EH,EL,EL
H,EH,EH,EH,EH,EH,EH,EH,L,EH,EL,H,EH,L,EH,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EH,M,EH,EL,EH,H,EH,EH,H,EH,EH,EH,L,M,M,EL,EL,EH,M,EH,EH,EH,M,EL,EL,L,EH,EL,EH,M,EH,EH,EH,EH,EL,M,EH,EL,EH,EH,H,H,EL,EH,H,L,EH,EH,L,H,EH,H,H,H,EH,EH,H,EH,EH,EH,L,EH,L,H,EH,EH,H,EL,EL,L,EL,EL,EH,EL,EL
EH,EH,EH,EH,L,EH,H,EH,EL,H,EL,EL,H,EL,EH,EH,H,EH,EH,EH,EH,H,EH,EH,EH,H,EL,EH,EL,EH,EL,EH,EH,EH,EH,EH,H,EL,EL,H,EL,EL,EH,EH,H,H,EH,L,L,EL,EL,EH,EL,H,EL,EH,H,H,EH,EL,M,H,L,EH,EH,EH,EH,EL,EH,EH,EL,EH,EH,EL,EH,EH,EH,EH,EH,EH,H,H,EH,EH,EH,EH,EH,EL,H,EH,H,EH,EL,EL,EH,L,EL,EH,EL,EL
EH,EH,EH,H,H,EH,EH,EH,EL,EH,L,EL,EH,EL,H,H,EH,EH,EH,EH,H,EH,H,EH,H,EH,EL,EH,EL,H,EL,H,EH,EH,EH,EH,EH,L,L,EH,EL,L,EH,H,H,H,EH,L,EL,L,EL,EH,L,EH,M,EH,EH,EH,EH,L,M,EH,EL,EH,EH,H,EH,M,EH,H,EL,H,EH,L,H,EH,M,EH,EH,EH,H,H,EH,EH,EH,EH,EH,L,H,EH,EH,H,L,L,H,L,EL,M,EL,EL
EH,EH,H,EH,EH,EH,H,EH,L,EH,M,EL,EH,L,EH,EH,H,EH,EH,EH,EH,EH,H,EH,H,H,L,H,L,H,L,EH,EH,EH,EH,H,EH,L,M,EH,M,M,H,H,H,H,EH,EL,M,L,L,EH,L,EH,M,EH,H,EH,EH,L,M,EH,EL,EH,EH,H,H,M,EH,EH,EL,H,EH,L,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,EH,EH,M,L,EH,EH,EH,H,L,EL,H,L,L,H,M,L
EH,H,EH,H,EH,M,EH,H,L,EH,M,L,EH,EL,M,EH,EH,EH,H,H,EH,H,EH,H,M,EH,M,H,L,H,H,H,EH,EH,EH,EH,H,L,L,EH,L,M,H,EH,EH,EH,EH,M,L,L,L,H,EL,EH,M,EH,EH,EH,EH,EL,M,EH,EL,EH,EH,EH,EH,M,EH,M,EL,H,EH,L,EH,EH,EH,EH,EH,EH,H,EH,EH,EH,H,EH,H,L,EH,H,EH,EH,H,L,EH,M,EL,H,EL,L
EH,EH,EH,EH,EH,EH,EH,EH,L,H,L,EL,H,L,EH,H,EH,EH,EH,EH,H,EH,EH,H,EH,EH,M,EH,EL,EH,M,EH,EH,EH,H,EH,EH,EL,EL,EH,L,EL,EH,EH,EH,EH,EH,L,M,EL,L,M,L,EH,L,EH,EH,EH,EH,L,M,H,EL,EH,EH,EH,H,L,EH,EH,L,EH,M,EL,EH,H,EH,H,EH,EH,EH,H,EH,H,EH,EH,EH,L,H,H,EH,H,EL,EL,M,EL,EL,EH,EL,EL
EH,EH,EH,EH,H,H,EH,H,EL,EH,EL,EL,EH,EL,EH,H,EH,H,EH,EH,EH,EH,EH,EH,EH,EH,EL,EH,EL,H,L,EH,EH,EH,EH,EH,H,L,EL,EH,EL,L,H,H,EH,EH,EH,L,L,EL,EL,H,EL,EH,M,EH,H,EH,EH,EL,EL,EH,L,EH,EH,EH,H,EL,EH,EH,EL,H,EH,EL,EH,H,EH,L,H,EH,EH,EH,M,EH,EH,EH,EH,EL,H,EH,EH,H,M,EL,M,EL,EL,EH,EL,EL
EH,EH,EH,H,EH,EH,EH,EH,L,EH,EL,L,EH,EL,EH,EH,H,H,EH,EH,EH,EH,EH,EH,M,L,M,EH,EL,EH,L,EH,EH,EH,EH,EH,EH,M,L,EH,EL,H,EH,EH,H,EH,EH,EL,EL,EL,L,EH,EL,EH,M,EH,H,EH,EH,EL,M,EH,EL,EH,EH,EH,EH,L,EH,EH,EL,EH,EH,M,H,EH,EH,M,EH,EH,H,EH,EH,EH,EH,EH,H,EL,H,EH,EH,EH,L,M,EH,EL,L,H,EL,EL
EH,EH,EH,EH,H,EH,EH,EH,L,EH,EL,EH,M,L,EH,EH,EH,H,EH,EH,EH,H,H,EH,EH,EH,L,EH,EL,EH,EH,EH,M,EH,EH,H,H,EL,EL,EH,L,EH,EH,EH,EH,EH,EH,EL,M,EL,L,EH,L,EH,EL,EH,H,EH,H,EL,EL,EH,EL,H,EH,EH,EH,EL,EH,EH,EL,EH,EH,EL,EH,H,EH,L,EH,EH,H,H,M,EH,EH,EH,EH,L,H,EH,EH,H,L,EL,EH,EL,M,EH,EL,EL
EH,EH,EH,EH,EH,EH,EH,EH,L,EH,L,M,EH,M,H,EH,EH,H,EH,L,EH,H,EH,EH,H,L,M,EH,M,H,M,EH,H,EH,EH,H,EH,EL,M,EH,L,M,EH,EH,H,EH,EH,H,M,L,M,EH,L,EH,L,EH,EH,H,EH,EL,EL,EH,EL,L,EH,EH,H,M,EH,EH,EL,EH,H,M,EH,EH,EH,EH,EH,EH,EH,EH,EH,EH,H,H,EH,EL,H,EH,EH,EH,L,M,M,EL,L,EH,L,L
EH,EH,H,EH,EH,EH,EH,EH,M,EH,L,L,EH,L,EH,H,H,EH,H,EH,EH,EH,EH,EH,EH,EH,L,EH,L,EH,H,EH,H,H,EH,H,H,L,M,EH,EL,H,M,EH,H,EH,M,M,EL,EL,M,EH,EL,M,L,EH,H,EH,EH,EL,EL,EH,EL,EH,EH,EH,M,EL,EH,EH,EL,EH,M,M,EH,H,EH,EH,M,EH,H,H,EH,EH,EH,M,H,M,EH,EH,EH,H,M,EL,EH,EL,EL,EH,L,L
