FOXC1,ROPN1,RGMA,CA6,TTYH1,SCRG1,SFRS13B,CSN3,RABEP1,TMCC2,C6orf97,ERBB2,CCNE1,SLC39A6,SOX8,RLBP1,RGR,LOC93432,OLAH,HORMAD1,CCKBR,FAM171A1,B3GNT5,MIA,NCAN,EPHB1,KDM4B,FZD9,FSIP1,HAO1,GRB7,ROPN1B,HAPLN3,HRCT1,NCRNA00092,PTCHD1,SMR3B,TLE3,APH1B,FSCN1,GPR77,STARD3,CHRDL2,CRYAB,C1orf94,NRTN,MATN4,SLC25A18,STC2,TBC1D9,C6orf211,CMTM5,CA12,CLCN4,ACBD4,CSN2,C11orf75,MAGEB4,C2orf88,XBP1,EVL,FAM19A3,MLPH,TTLL4,CARD18,C10orf90,CAMKV,PGR,FAM150A,PRSS33,FOXA1,GFRA3,CLDN6,ANKRA2,C9orf170,MID1,PAPL,FAM150B,LEMD1,UCN3,YBX1,PSAPL1,SPHKAP,LOXL4,MOG,IL34,ATP6V1C2,WWP1,CTXN3,KCNK5,GPM6B,KRT20,PARD6B,TTC8,DLX6,TPRG1,CELSR1,IFRD1,NAT1,KIAA1370
H,H,H,H,H,M,M,H,EL,M,EL,EH,H,EL,H,H,H,H,H,M,M,H,H,EL,H,EL,EL,H,L,H,EH,H,L,EH,L,M,H,EL,EL,M,L,EH,M,L,EH,H,EH,EH,L,EL,L,M,L,M,EL,EH,H,H,M,L,EL,H,L,M,EH,L,H,L,EH,M,L,M,L,EL,H,EH,H,H,M,EH,EH,H,M,H,H,L,L,EL,EH,L,EL,H,EL,L,M,M,EL,M,L,L
M,M,M,H,H,M,M,H,EL,M,L,EH,H,M,L,H,H,H,H,L,H,L,H,H,H,M,M,M,M,H,EH,EL,H,H,L,L,H,M,L,M,M,EH,L,M,H,L,L,EH,L,L,L,EH,M,M,EL,EH,M,H,L,L,M,M,L,H,EH,L,H,L,EH,M,M,H,L,L,M,M,H,L,M,EH,EH,H,H,EH,H,H,M,L,H,H,EL,EH,EL,M,M,EL,M,L,H,L
M,EL,M,H,H,L,L,H,L,H,M,EH,L,EL,H,H,H,H,H,L,M,H,M,L,M,H,EL,M,L,H,EH,EL,EH,H,H,EH,H,L,L,H,M,EH,H,H,H,EL,M,H,EL,L,EL,M,M,H,L,EH,H,H,H,L,L,M,L,M,EH,M,H,L,EH,H,L,L,L,EL,M,EH,L,H,M,EH,H,H,H,H,H,H,L,H,EH,M,M,H,EL,L,M,L,M,M,M,L
EL,M,M,H,H,EL,EL,H,EL,M,EL,EH,H,EL,H,H,H,H,H,H,M,H,H,L,L,H,EL,H,EL,H,H,L,H,H,H,H,H,EL,EL,L,L,EH,EL,H,H,L,H,EL,EL,EL,EL,M,EL,M,L,EH,H,H,EH,L,EL,EL,L,M,EH,EL,EH,L,EH,H,L,EL,M,EL,H,EH,L,EH,M,EH,H,H,M,L,EH,H,H,EL,H,H,L,H,EL,EL,M,M,EL,EL,EL,EL
M,EL,EL,H,L,L,L,H,L,EL,L,EL,M,M,EL,H,H,H,H,H,M,EL,M,M,L,EL,EL,M,L,H,EL,L,H,L,L,H,H,EL,M,EL,L,EL,L,L,H,M,M,EH,EL,L,M,M,L,H,L,EH,M,EH,M,L,EL,EL,L,L,EH,EL,M,M,EH,H,L,L,L,L,L,M,H,H,M,EH,EL,H,H,H,H,EL,EL,M,H,EL,EL,EH,M,L,M,EL,L,L,M,L
EL,M,M,H,M,L,H,EH,M,M,M,EH,H,M,EH,H,H,H,M,EH,M,H,M,M,M,M,L,M,M,EH,EH,H,H,M,M,H,H,L,M,L,EL,H,M,L,H,L,H,EH,EL,M,M,M,M,M,EL,EH,EH,H,H,H,M,H,M,M,EH,L,M,L,EH,M,H,EL,L,H,M,M,L,M,H,EH,M,EH,H,M,H,M,EH,M,H,M,H,H,M,M,L,EL,H,M,L,H
L,EL,L,H,H,L,L,H,L,L,L,L,M,L,EH,EH,H,H,M,L,M,M,M,EL,L,L,L,L,EL,H,EL,EL,H,L,M,H,H,L,L,M,L,L,M,L,H,M,L,EH,EL,L,EL,M,M,H,EL,EH,EH,H,H,M,EL,EL,L,M,EH,L,H,L,EH,M,L,L,EH,L,M,H,H,H,M,EH,M,H,M,M,EH,L,EH,L,H,L,L,H,EL,L,L,EL,M,M,L,M
L,M,H,H,H,H,L,H,M,M,L,EH,H,L,EL,H,H,H,M,M,M,H,M,H,L,EL,L,L,L,H,EH,H,M,H,L,H,H,L,EL,L,L,EH,M,M,EH,EL,H,EH,EL,M,H,M,EL,L,EL,EH,H,H,H,M,EL,L,H,EH,EH,EL,H,EL,EH,M,M,H,M,EL,M,H,L,H,M,EH,EH,H,H,M,H,H,H,M,H,L,H,EH,L,L,M,EL,L,M,L,M
EL,M,L,H,H,M,L,H,M,H,M,EH,M,L,EL,H,H,H,H,M,EH,L,EL,M,EH,M,M,M,M,H,EH,H,M,H,L,M,H,L,M,H,EL,EH,L,M,H,L,L,EH,L,M,L,EH,M,H,L,EH,L,EH,L,L,L,EL,M,H,EH,L,H,L,EH,M,M,H,EH,M,M,EL,L,L,M,EH,L,H,M,H,H,M,M,L,H,EL,M,EH,L,M,H,EL,M,M,M,M
M,EL,L,H,L,H,EL,H,M,M,M,EL,L,L,M,H,H,H,M,L,EH,M,EL,L,L,M,L,H,M,H,EL,H,M,EL,L,L,H,L,L,H,L,EL,M,H,H,EL,H,EH,L,L,L,H,M,M,EL,EH,M,H,EL,L,M,EH,M,EL,EH,H,M,L,EH,M,M,H,H,M,L,M,L,L,M,EH,L,H,M,EL,H,L,H,L,H,L,H,EH,L,M,H,L,L,L,H,H
