FOXC1,ROPN1,RGMA,CA6,TTYH1,SCRG1,SFRS13B,CSN3,RABEP1,TMCC2,C6orf97,ERBB2,CCNE1,SLC39A6,SOX8,RLBP1,RGR,LOC93432,OLAH,HORMAD1,CCKBR,FAM171A1,B3GNT5,MIA,NCAN,EPHB1,KDM4B,FZD9,FSIP1,HAO1,GRB7,ROPN1B,HAPLN3,HRCT1,NCRNA00092,PTCHD1,SMR3B,TLE3,APH1B,FSCN1,GPR77,STARD3,CHRDL2,CRYAB,C1orf94,NRTN,MATN4,SLC25A18,STC2,TBC1D9,C6orf211,CMTM5,CA12,CLCN4,ACBD4,CSN2,C11orf75,MAGEB4,C2orf88,XBP1,EVL,FAM19A3,MLPH,TTLL4,CARD18,C10orf90,CAMKV,PGR,FAM150A,PRSS33,FOXA1,GFRA3,CLDN6,ANKRA2,C9orf170,MID1,PAPL,FAM150B,LEMD1,UCN3,YBX1,PSAPL1,SPHKAP,LOXL4,MOG,IL34,ATP6V1C2,WWP1,CTXN3,KCNK5,GPM6B,KRT20,PARD6B,TTC8,DLX6,TPRG1,CELSR1,IFRD1,NAT1,KIAA1370
EL,M,L,H,L,H,L,EH,H,L,H,L,EL,H,M,H,H,H,M,H,M,L,M,H,M,EL,H,EL,EH,H,L,M,EL,M,M,EL,H,H,H,L,M,L,EH,M,H,L,L,M,H,H,L,M,EH,EL,EH,EH,L,H,L,H,EH,EH,H,M,EH,L,M,H,EH,M,H,L,H,H,L,L,H,L,H,EH,L,H,H,H,H,L,M,M,H,M,M,H,H,EH,M,EH,H,EL,EH,H
L,M,M,H,EL,EL,EL,H,H,L,M,L,EL,H,EL,H,H,EH,M,H,H,L,EL,M,L,EL,H,M,H,H,L,L,L,H,L,L,H,H,M,H,M,EL,H,M,H,L,L,L,H,M,M,M,H,L,H,EH,M,H,EL,M,H,L,M,EL,EH,L,H,H,EH,M,H,M,M,M,M,EL,L,L,M,EH,EL,H,M,M,H,L,EL,M,H,L,H,H,H,M,M,EH,M,EL,EH,M
L,M,M,H,EL,M,H,H,H,EL,H,M,L,EH,M,H,H,H,M,L,M,M,M,H,M,L,H,M,M,H,L,EL,M,H,M,L,H,M,EH,M,H,L,M,M,H,M,L,M,H,M,EH,H,H,M,M,EH,L,H,M,M,EH,L,M,M,EH,L,M,EH,EH,H,H,L,L,M,M,M,H,H,M,EH,L,H,M,H,EH,L,EL,H,H,M,H,H,EH,M,M,EH,H,EL,EH,H
H,M,L,EH,M,L,H,H,EH,L,EH,L,EL,H,L,H,H,H,H,L,M,L,L,H,L,L,M,EL,H,H,EL,M,L,H,M,L,H,H,H,L,M,EL,EL,L,H,L,L,M,EH,EH,EH,M,M,L,M,EH,L,H,M,M,H,H,M,L,EH,EL,M,EH,EH,M,EH,L,H,H,L,L,L,M,M,EH,EL,H,H,EH,H,H,EL,H,H,EL,M,H,H,H,H,EH,H,EL,EH,H
L,H,EL,H,EL,L,L,H,EH,L,EH,H,EL,EH,EL,H,H,H,M,M,M,EL,L,EL,M,EL,H,M,EH,H,M,H,EL,L,L,EL,H,EH,EH,EL,EH,M,H,EL,H,M,L,M,EH,H,EH,M,EH,L,EH,EH,EL,H,L,EH,EH,H,EH,L,EH,EL,M,H,EH,H,EH,L,H,EH,M,M,L,L,M,EH,L,H,M,L,H,EL,L,EH,H,M,H,H,EH,EH,M,H,EH,EL,H,EH
EL,EL,L,H,L,M,H,H,H,EL,EH,M,EL,M,L,H,H,H,H,L,H,L,L,L,M,L,H,EL,EH,H,L,EL,L,EL,M,L,H,H,EH,L,M,L,EL,L,H,H,L,EL,M,EH,EH,M,H,L,M,EH,EL,H,L,M,EH,H,H,M,EH,H,M,M,EH,H,H,L,H,H,M,L,L,L,M,EH,EL,H,M,EL,EH,EL,EL,EH,H,EL,L,H,EH,H,H,EH,EH,L,EH,EH
L,M,L,H,EL,EL,M,H,EH,L,EH,H,EL,EH,L,H,H,H,M,L,M,M,L,EL,EH,EL,M,EL,H,H,L,M,L,EL,EH,L,H,H,EH,L,EH,L,H,EL,H,H,L,H,L,EH,H,M,H,L,EH,EH,M,H,L,EH,M,EL,EH,L,EH,L,M,EH,EH,M,EH,EL,M,EH,L,L,L,M,M,EH,EL,H,H,L,H,EH,EL,H,H,L,H,H,EH,M,L,EH,EH,EL,EH,H
EL,H,L,H,L,EL,L,H,M,EL,M,EL,EL,M,EL,H,H,H,M,L,M,EL,L,H,L,EL,M,L,M,H,EL,L,EL,EL,H,L,H,EL,M,EL,M,EL,EL,EL,H,L,L,EL,EH,M,H,M,M,EL,M,EH,EL,H,L,L,L,EL,L,EL,EH,M,M,EH,EH,M,L,M,H,L,M,EL,M,L,H,EH,EL,H,H,L,H,EL,EL,M,H,H,EL,H,M,L,EH,M,L,EL,M,L
L,M,H,H,M,H,H,EH,EH,L,EH,M,EL,EH,M,H,H,EH,M,H,H,M,L,M,EH,M,EH,L,H,H,M,L,L,EL,M,L,EH,EH,EH,L,EH,M,M,L,H,M,M,L,EH,EH,H,M,H,H,H,EH,M,H,H,H,EH,H,EH,H,EH,M,M,EH,EH,H,EH,H,L,EH,M,M,L,H,H,EH,L,H,H,M,H,M,L,EH,EH,EL,M,H,EH,H,L,EH,EH,H,EH,EH
EL,M,L,H,EL,EL,H,H,M,EL,H,M,L,H,L,H,H,H,M,H,M,L,M,EL,H,M,H,M,EH,H,EL,EL,L,EL,L,L,H,M,M,M,H,EL,L,L,H,EL,L,EL,H,H,M,M,H,L,H,EH,M,H,L,M,H,M,H,L,EH,H,M,EH,EH,H,L,M,L,M,H,L,M,L,M,EH,EL,H,M,EL,H,EL,EL,M,H,H,M,EH,L,M,L,EH,H,L,M,M
L,EL,M,H,H,L,M,H,H,L,EH,H,EL,H,M,H,H,H,M,H,M,L,L,M,H,M,H,M,EH,H,L,L,M,H,L,M,H,H,EH,H,EH,L,M,M,H,M,M,M,H,EH,EH,H,EH,L,M,EH,L,H,EL,EH,EH,M,H,EL,EH,L,M,EH,EH,M,EH,L,L,H,H,EL,H,M,M,EH,EL,H,M,H,H,H,L,H,H,L,M,H,EH,H,EH,EH,EH,L,EH,EH
L,M,M,H,M,EL,M,H,EH,M,M,H,L,H,M,H,H,EH,M,L,H,M,M,H,M,M,EH,M,H,H,M,L,M,H,M,M,H,EH,EH,H,H,M,H,H,EH,L,L,H,EH,EH,H,EH,EH,M,EH,EH,H,H,H,M,EH,H,EH,H,EH,M,H,EH,EH,M,EH,H,EH,EH,H,L,M,M,M,EH,M,EH,M,H,H,H,L,H,EH,L,L,H,H,EH,EH,EH,M,H,EH,EH
EL,M,EL,H,L,L,H,H,H,L,EH,L,EL,M,EL,H,H,H,H,L,M,EL,EL,EL,L,EL,EH,EL,H,H,M,M,EL,EL,L,EL,EH,M,H,EL,H,EL,EL,EL,H,L,L,H,H,M,H,M,H,L,EH,EH,EL,H,M,H,EH,M,EH,M,EH,L,M,EH,EH,M,H,L,M,H,L,L,L,L,M,EH,EL,H,M,H,EH,EL,M,M,H,L,M,H,H,EH,EH,EH,H,H,EH,EH
M,H,EL,H,EL,H,H,H,EH,EL,EH,L,M,H,H,H,H,H,M,L,EH,H,L,M,H,H,EH,M,EH,H,EL,H,EL,L,L,L,H,EH,H,H,H,L,EL,L,EH,EL,M,M,EH,EH,H,M,L,EL,EH,EH,L,H,EL,EH,EH,L,H,EL,EH,L,M,M,EH,M,EH,EL,L,M,H,L,M,H,M,EH,M,H,M,M,EH,EL,L,H,H,EL,L,H,EH,H,H,H,M,L,H,M
EL,EL,EL,H,EL,L,L,H,EH,EL,H,H,EL,EH,H,H,H,H,H,L,H,L,EL,EL,H,M,H,EL,M,H,M,L,L,M,H,EL,H,EH,EH,EL,EH,H,M,EL,H,EL,M,EL,EH,EH,H,M,EH,EL,H,EH,EL,H,M,M,EH,L,EH,M,EH,EL,M,EH,EH,M,EH,L,L,EH,M,EL,L,H,M,EH,L,H,H,L,H,H,L,EH,H,EL,EL,H,EH,EH,H,EH,EH,M,EH,EH
EL,M,EL,H,M,EL,M,H,M,EL,M,L,L,H,EL,H,H,H,M,L,H,EL,EL,H,L,EL,H,M,H,H,M,L,EL,M,L,EL,H,M,EH,L,M,EL,H,H,H,L,L,H,H,M,EH,M,EH,EL,H,EH,L,H,EL,EH,M,EL,H,EL,EH,L,H,EH,EH,EH,M,M,M,M,L,EL,L,L,M,EH,M,H,M,EL,H,EL,H,EH,H,M,EL,H,M,H,M,EH,H,EL,H,H
M,M,H,H,L,L,M,H,EH,M,EH,H,EL,H,M,H,H,H,M,H,M,H,H,L,EH,M,EH,L,H,H,L,EL,H,M,H,L,H,EH,EH,H,EH,H,M,M,EH,M,M,L,H,EH,H,M,H,H,EH,EH,M,H,M,EH,H,M,EH,M,EH,H,M,H,EH,H,EH,L,M,H,H,M,M,L,M,EH,L,H,M,M,H,M,EL,EH,H,H,M,H,H,H,M,H,H,L,EH,H
EL,M,EL,H,L,H,L,H,M,H,H,EL,EL,H,EL,H,H,H,M,L,M,EL,EL,H,L,EL,M,EL,H,H,L,L,EL,L,L,L,H,M,H,EL,H,EL,L,EL,H,L,L,EL,M,H,M,M,M,EL,M,EH,EL,H,L,H,M,L,M,EL,EH,EL,M,H,EH,H,M,EL,L,M,L,EL,H,H,H,EH,EL,H,H,L,H,EL,EL,L,H,L,EL,H,M,M,M,EH,H,L,H,M
M,H,M,H,EH,L,EL,H,H,M,M,H,EL,M,L,H,H,H,H,M,H,H,L,H,L,M,M,M,L,H,L,M,M,M,M,M,H,M,M,M,M,M,H,H,H,M,L,H,EH,L,L,M,M,H,EH,EH,L,H,M,M,L,M,M,L,EH,M,M,EH,EH,H,H,L,EH,L,L,M,L,L,M,EH,L,EH,H,H,H,M,L,M,H,EH,L,H,L,EH,M,M,M,H,L,EL
H,H,M,EH,EH,EH,M,EH,H,L,H,L,M,EH,H,H,EH,EH,H,L,EH,M,M,H,L,H,H,L,H,H,L,H,L,EH,H,H,EH,H,H,M,H,L,EH,M,H,M,M,M,H,H,M,EH,EH,L,M,EH,M,H,H,H,EH,EH,H,L,EH,EH,H,EH,EH,H,M,M,L,M,M,H,L,EH,M,EH,M,H,EH,H,H,M,H,H,H,M,H,H,M,M,H,EH,M,EL,EH,H
EL,M,EL,H,H,L,L,H,EH,L,EH,M,L,H,M,H,H,EH,M,M,M,L,L,EL,M,L,H,EL,H,EH,L,M,L,M,M,M,H,H,EH,EL,EH,L,H,M,H,M,L,M,EH,H,EH,H,EH,L,EH,EH,EL,H,EL,EH,H,H,EH,EL,EH,H,M,EH,EH,H,H,EL,M,H,M,L,M,H,H,EH,L,H,M,L,EH,EL,M,EH,H,H,M,H,EH,EH,M,M,H,L,H,EH
H,M,M,H,L,L,EL,H,EH,M,H,M,EL,EH,H,H,H,H,M,L,H,M,M,M,EH,M,EH,M,H,H,EL,L,M,L,M,M,H,EH,EH,H,EH,M,L,M,H,L,L,H,H,EH,H,H,H,M,H,EH,M,H,L,EH,H,EL,H,EL,EH,M,M,H,EH,M,H,M,L,H,H,M,L,L,M,EH,L,H,H,M,H,M,EL,H,H,H,M,H,EH,H,H,EH,EH,EL,EH,H
