"items","support"
"{ATP6V1G3.127124=H}",0.90625
"{SPINK7.84651=H}",0.920138888888889
"{C8orf22.492307=M}",0.9375
"{CIB4.130106=M}",0.958333333333333
"{C8orf71.26138=EH}",1
"{ODAM.54959=EH}",1
"{C8orf71.26138=EH,ATP6V1G3.127124=H}",0.90625
"{ODAM.54959=EH,ATP6V1G3.127124=H}",0.90625
"{C8orf71.26138=EH,SPINK7.84651=H}",0.920138888888889
"{ODAM.54959=EH,SPINK7.84651=H}",0.920138888888889
"{C8orf22.492307=M,C8orf71.26138=EH}",0.9375
"{C8orf22.492307=M,ODAM.54959=EH}",0.9375
"{C8orf71.26138=EH,CIB4.130106=M}",0.958333333333333
"{ODAM.54959=EH,CIB4.130106=M}",0.958333333333333
"{C8orf71.26138=EH,ODAM.54959=EH}",1
"{C8orf71.26138=EH,ODAM.54959=EH,ATP6V1G3.127124=H}",0.90625
"{C8orf71.26138=EH,ODAM.54959=EH,SPINK7.84651=H}",0.920138888888889
"{C8orf22.492307=M,C8orf71.26138=EH,ODAM.54959=EH}",0.9375
"{C8orf71.26138=EH,ODAM.54959=EH,CIB4.130106=M}",0.958333333333333
