"","items","support","count"
"1","{EVI5L.115704=EH,LOC100129034.100129034=EL,GLYAT.10249=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"2","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLPB.81570=EH,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"3","{EVI5L.115704=EH,LOC100129034.100129034=EL,C1orf186.440712=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"4","{EVI5L.115704=EH,LOC100129034.100129034=EL,ALPK2.115701=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"5","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,NGEF.25791=EL}",1,66
"6","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,CFB.629=EL}",1,66
"7","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,HAVCR1.26762=EL}",1,66
"8","{EVI5L.115704=EH,LOC100129034.100129034=EL,UNC5CL.222643=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"9","{EVI5L.115704=EH,LOC100129034.100129034=EL,MTMR11.10903=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"10","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,HNF4A.3172=EL}",1,66
"11","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,REG3G.130120=L}",1,66
"12","{EVI5L.115704=EH,LOC100129034.100129034=EL,FIGNL2.401720=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"13","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,NRXN2.9379=EL}",1,66
"14","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,HHLA2.11148=EL}",1,66
"15","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,NXNL2.158046=EL}",1,66
"16","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,ADAM18.8749=M}",1,66
"17","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,ENKUR.219670=EL}",1,66
"18","{EVI5L.115704=EH,LOC100129034.100129034=EL,FAM58A.92002=EH,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"19","{EVI5L.115704=EH,COL23A1.91522=EL,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"20","{EVI5L.115704=EH,LOC100129034.100129034=EL,ACSM2B.348158=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"21","{EVI5L.115704=EH,LOC100129034.100129034=EL,C4orf47.441054=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"22","{EVI5L.115704=EH,LOC100129034.100129034=EL,CDHR5.53841=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"23","{EVI5L.115704=EH,FLJ32063.150538=M,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"24","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLDN2.9075=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"25","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,LOC285733.285733=EL}",1,66
"26","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,WFDC5.149708=M}",1,66
"27","{EVI5L.115704=EH,CYP2J2.1573=EL,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"28","{EVI5L.115704=EH,LOC100129034.100129034=EL,TRIM10.10107=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"29","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,KLK15.55554=EH}",1,66
"30","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,RHCG.51458=EH}",1,66
"31","{EVI5L.115704=EH,LOC100129034.100129034=EL,IL22RA1.58985=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"32","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,UGT1A7.54577=M}",1,66
"33","{EVI5L.115704=EH,LOC100129034.100129034=EL,CDH6.1004=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"34","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC22A11.55867=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"35","{EVI5L.115704=EH,SLC17A4.10050=EL,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"36","{EVI5L.115704=EH,LOC100129034.100129034=EL,ACY3.91703=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"37","{EVI5L.115704=EH,LOC100129034.100129034=EL,GALNT14.79623=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"38","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,TTTY4C.474150=H}",1,66
