Pattern,Size,supportT,supportN,GrowthRatio
frozenset({'GYPE_L'}),1,0.43859649122807015,0.0,inf
frozenset({'SGCG_L'}),1,0.42105263157894735,0.0,inf
frozenset({'ANGPT4_L'}),1,0.42105263157894735,0.0,inf
frozenset({'C20orf160_L'}),1,0.42105263157894735,0.0,inf
frozenset({'PYCR1_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'PYCR1_H'}),1,0.40350877192982454,0.0,inf
frozenset({'SFXN1_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'ALDH18A1_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'TUBB3_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'TUBB3_H'}),1,0.40350877192982454,0.0,inf
frozenset({'PAICS_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'PAICS_H'}),1,0.40350877192982454,0.0,inf
frozenset({'FAM83A_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'FAM83A_H'}),1,0.40350877192982454,0.0,inf
frozenset({'GPT2_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'GPT2_H'}),1,0.40350877192982454,0.0,inf
frozenset({'ETV4_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'ETV4_H'}),1,0.40350877192982454,0.0,inf
frozenset({'GOLM1_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'C9orf140_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'C9orf140_H'}),1,0.40350877192982454,0.0,inf
frozenset({'TOP2A_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'TOP2A_H'}),1,0.40350877192982454,0.0,inf
frozenset({'SRPK1_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'RCC1_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'RCC1_H'}),1,0.40350877192982454,0.0,inf
frozenset({'UBE2T_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'UBE2T_H'}),1,0.40350877192982454,0.0,inf
frozenset({'FERMT1_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'KIF4A_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'KIF4A_H'}),1,0.40350877192982454,0.0,inf
frozenset({'CENPF_EH'}),1,0.40350877192982454,0.0,inf
frozenset({'CENPF_H'}),1,0.40350877192982454,0.0,inf
